iter	Passed	Remaining
347	8175	15317
348	8195	15287
349	8214	15255
350	8233	15223
351	8251	15190
352	8270	15158
353	8288	15125
354	8306	15091
355	8325	15060
356	8343	15026
357	8359	14991
358	8380	14962
359	8400	14934
360	8418	14902
361	8438	14872
362	8457	14841
363	8477	14811
364	8495	14779
365	8514	14748
366	8533	14718
367	8553	14689
368	8572	14659
369	8595	14636
370	8617	14609
371	8636	14579
372	8658	14554
373	8678	14526
374	8697	14495
375	8718	14469
376	8737	14439
377	8756	14408
378	8774	14377
379	8794	14348
380	8815	14321
381	8833	14291
382	8853	14262
383	8873	14233
384	8891	14203
385	8910	14173
386	8929	14144
387	8949	14115
388	8969	14089
389	8988	14058
390	9007	14029
391	9028	14002
392	9046	13972
393	9065	13943
394	9087	13918
395	9108	13892
396	9126	13861
397	9144	13832
398	9163	13803
399	9193	13790
400	9212	13760
401	9232	13733
402	9253	13708
403	9274	13681
404	9292	13651
405	9310	13621
406	9331	13596
407	9350	13566
408	9369	13538
409	9387	13509
410	9406	13480
411	9425	13451
412	9446	13426
413	9467	13400
414	9485	13371
415	9502	13340
416	9519	13309
417	9538	13281
418	9556	13251
419	9574	13222
420	9594	13195
421	9614	13168
422	9636	13144
423	9657	13120
424	9678	13094
425	9697	13066
426	9717	13039
427	9739	13016
428	9758	12988
429	9777	12961
430	9796	12932
431	9815	12905
432	9833	12877
433	9853	12850
434	9872	12822
435	9891	12795
436	9910	12768
437	9926	12736
438	9945	12709
439	9963	12680
440	9982	12652
441	10000	12625
442	10018	12596
443	10036	12568
444	10058	12544
445	10078	12518
446	10101	12496
447	10123	12473
448	10144	12448
449	10166	12425
450	10186	12399
451	10206	12374
452	10227	12350
453	10248	12325
454	10270	12302
455	10289	12275
456	10310	12250
457	10329	12224
458	10348	12197
459	10366	12169
460	10385	12142
461	10402	12114
462	10420	12086
463	10440	12060
464	10458	12033
465	10476	12004
466	10495	11979
467	10514	11952
468	10536	11929
469	10557	11904
470	10576	11879
471	10595	11853
472	10614	11826
473	10634	11801
474	10654	11776
475	10674	11751
476	10697	11729
477	10717	11704
478	10739	11681
479	10762	11659
480	10786	11638
481	10806	11613
482	10825	11587
483	10844	11561
484	10862	11534
485	10882	11509
486	10902	11484
487	10921	11458
488	10942	11435
489	10961	11408
490	10978	11381
491	10997	11355
492	11016	11329
493	11037	11305
494	11056	11279
495	11074	11253
496	11092	11226
497	11109	11199
498	11128	11172
499	11147	11147
500	11168	11124
501	11188	11099
502	11207	11073
503	11225	11047
504	11243	11021
505	11261	10994
506	11280	10969
507	11301	10945
508	11319	10919
509	11339	10894
510	11359	10870
511	11379	10845
512	11399	10821
513	11415	10793
514	11434	10767
515	11452	10742
516	11471	10717
517	11489	10691
518	11508	10665
519	11527	10640
520	11545	10615
521	11565	10590
522	11586	10567
523	11605	10542
524	11624	10517
525	11641	10490
526	11658	10463
527	11678	10439
528	11697	10414
529	11716	10390
530	11738	10367
531	11755	10341
532	11775	10317
533	11795	10293
534	11816	10270
535	11836	10246
536	11856	10222
537	11875	10197
538	11893	10172
539	11911	10147
540	11930	10121
541	11948	10096
542	11966	10071
543	11985	10046
544	12009	10026
545	12028	10001
546	12048	9977
547	12066	9952
548	12085	9928
549	12104	9903
550	12124	9879
551	12143	9855
552	12165	9833
553	12186	9810
554	12204	9785
555	12223	9761
556	12241	9736
557	12260	9711
558	12279	9687
559	12298	9662
560	12317	9638
561	12335	9613
562	12353	9588
563	12372	9564
564	12389	9538
565	12412	9517
566	12433	9494
567	12450	9469
568	12470	9446
569	12489	9421
570	12507	9397
571	12526	9373
572	12545	9348
573	12564	9324
574	12583	9300
575	12603	9277
576	12622	9253
577	12644	9231
578	12664	9208
579	12683	9184
580	12703	9161
581	12722	9137
582	12742	9114
583	12761	9090
584	12781	9067
585	12803	9045
586	12822	9021
587	12847	9001
588	12866	8977
589	12894	8960
590	12912	8936
591	12971	8939
592	13005	8926
593	13026	8903
594	13045	8879
595	13065	8856
596	13084	8832
597	13102	8808
598	13120	8783
599	13141	8761
600	13159	8736
601	13177	8712
602	13201	8691
603	13220	8667
604	13240	8644
605	13261	8622
606	13280	8598
607	13302	8576
608	13321	8552
609	13339	8528
610	13357	8504
611	13375	8480
612	13395	8456
613	13413	8432
614	13431	8408
615	13451	8385
616	13470	8361
617	13490	8338
618	13509	8314
619	13529	8292
620	13549	8269
621	13567	8245
622	13587	8222
623	13605	8198
624	13623	8173
625	13642	8150
626	13661	8127
627	13678	8102
628	13696	8078
629	13716	8055
630	13735	8032
631	13753	8008
632	13772	7984
633	13791	7961
634	13810	7938
635	13831	7916
636	13853	7894
637	13872	7871
638	13891	7847
639	13918	7828
640	13942	7808
641	13962	7785
642	13982	7763
643	14003	7741
644	14021	7717
645	14039	7693
646	14059	7670
647	14077	7647
648	14096	7623
649	14116	7601
650	14137	7579
651	14158	7556
652	14176	7533
653	14196	7510
654	14214	7487
655	14233	7464
656	14252	7440
657	14272	7418
658	14289	7394
659	14308	7371
660	14329	7349
661	14351	7327
662	14372	7305
663	14392	7282
664	14411	7260
665	14430	7237
666	14449	7213
667	14468	7191
668	14488	7168
669	14508	7146
670	14527	7123
671	14547	7100
672	14568	7078
673	14588	7056
674	14606	7032
675	14624	7009
676	14642	6986
677	14661	6963
678	14679	6939
679	14696	6916
680	14715	6893
681	14733	6869
682	14750	6846
683	14771	6824
684	14792	6802
685	14813	6780
686	14831	6757
687	14848	6733
688	14869	6711
689	14887	6688
690	14905	6665
691	14924	6642
692	14943	6620
693	14966	6598
694	14986	6576
695	15007	6554
696	15025	6531
697	15045	6509
698	15064	6487
699	15084	6464
700	15102	6441
701	15123	6419
702	15141	6397
703	15160	6374
704	15179	6351
705	15200	6329
706	15219	6307
707	15237	6284
708	15255	6261
709	15274	6238
710	15291	6215
711	15310	6193
712	15328	6170
713	15347	6147
714	15367	6125
715	15387	6103
716	15408	6081
717	15429	6059
718	15448	6037
719	15468	6015
720	15488	5993
721	15507	5971
722	15526	5948
723	15545	5926
724	15565	5903
725	15583	5881
726	15603	5859
727	15623	5837
728	15647	5816
729	15666	5794
730	15683	5771
731	15701	5748
732	15719	5725
733	15738	5703
734	15757	5681
735	15776	5658
736	15796	5637
737	15816	5614
738	15850	5598
739	15870	5576
740	15890	5554
741	15911	5532
742	15931	5510
743	15951	5488
744	15970	5466
745	15987	5443
746	16008	5422
747	16027	5399
748	16047	5377
749	16065	5355
750	16083	5332
751	16100	5309
752	16118	5287
753	16136	5264
754	16153	5241
755	16172	5219
756	16189	5197
757	16208	5174
758	16227	5152
759	16247	5130
760	16266	5108
761	16285	5086
762	16304	5064
763	16322	5042
764	16341	5019
765	16358	4997
766	16376	4974
767	16395	4952
768	16413	4930
769	16431	4908
770	16450	4886
771	16471	4864
772	16491	4842
773	16511	4821
774	16531	4799
775	16547	4776
776	16566	4754
777	16585	4732
778	16604	4710
779	16623	4688
780	16643	4667
781	16664	4645
782	16683	4623
783	16702	4601
784	16720	4579
785	16739	4557
786	16759	4536
787	16778	4513
788	16795	4491
789	16812	4469
790	16829	4446
791	16848	4424
792	16866	4402
793	16888	4381
794	16910	4360
795	16934	4340
796	16953	4318
797	16977	4297
798	16996	4275
799	17015	4253
800	17036	4232
801	17059	4211
802	17077	4189
803	17097	4167
804	17118	4146
805	17138	4125
806	17159	4103
807	17176	4081
808	17195	4059
809	17215	4038
810	17236	4016
811	17257	3995
812	17277	3973
813	17299	3953
814	17320	3931
815	17340	3910
816	17361	3888
817	17381	3867
818	17401	3845
819	17420	3824
820	17441	3802
821	17463	3781
822	17485	3760
823	17504	3738
824	17526	3717
825	17546	3696
826	17565	3674
827	17587	3653
828	17608	3632
829	17624	3609
830	17643	3588
831	17662	3566
832	17682	3544
833	17701	3523
834	17722	3502
835	17751	3482
836	17772	3461
837	17792	3439
838	17813	3418
839	17833	3396
840	17854	3375
841	17876	3354
842	17898	3333
843	17918	3312
844	17939	3290
845	17961	3269
846	17984	3248
847	18004	3227
848	18027	3206
849	18047	3184
850	18067	3163
851	18087	3142
852	18109	3120
853	18128	3099
854	18148	3077
855	18169	3056
856	18192	3035
857	18213	3014
858	18231	2992
859	18252	2971
860	18272	2949
861	18291	2928
862	18311	2906
863	18329	2885
864	18348	2863
865	18367	2842
866	18402	2822
867	18422	2801
868	18440	2779
869	18460	2758
870	18478	2736
871	18495	2714
872	18513	2693
873	18533	2671
874	18553	2650
875	18575	2629
876	18595	2607
877	18612	2586
878	18631	2564
879	18650	2543
880	18669	2521
881	18687	2500
882	18705	2478
883	18724	2457
884	18743	2435
885	18763	2414
886	18784	2393
887	18805	2371
888	18830	2351
889	18848	2329
890	18868	2308
891	18887	2286
892	18905	2265
893	18923	2243
894	18940	2222
895	18959	2200
896	18979	2179
897	19002	2158
898	19024	2137
899	19043	2115
900	19065	2094
901	19085	2073
902	19104	2052
903	19123	2030
904	19145	2009
905	19163	1988
906	19184	1967
907	19205	1945
908	19221	1924
909	19238	1902
910	19257	1881
911	19273	1859
912	19293	1838
913	19312	1817
914	19330	1795
915	19350	1774
916	19368	1753
917	19387	1731
918	19409	1710
919	19430	1689
920	19449	1668
921	19468	1647
922	19487	1625
923	19506	1604
924	19525	1583
925	19543	1561
926	19562	1540
927	19581	1519
928	19601	1498
929	19620	1476
930	19640	1455
931	19659	1434
932	19679	1413
933	19699	1392
934	19718	1370
935	19735	1349
936	19752	1328
937	19770	1306
938	19789	1285
939	19807	1264
940	19830	1243
941	19851	1222
942	19871	1201
943	19888	1179
944	19907	1158
945	19926	1137
946	19943	1116
947	19961	1094
948	19979	1073
949	19997	1052
950	20017	1031
951	20036	1010
952	20056	989
953	20078	968
954	20097	947
955	20115	925
956	20136	904
957	20154	883
958	20174	862
959	20192	841
960	20208	820
961	20227	799
962	20246	777
963	20265	756
964	20285	735
965	20303	714
966	20322	693
967	20341	672
968	20359	651
969	20379	630
970	20397	609
971	20415	588
972	20435	567
973	20454	546
974	20469	524
975	20489	503
976	20507	482
977	20526	461
978	20545	440
979	20565	419
980	20584	398
981	20601	377
982	20619	356
983	20638	335
984	20657	314
985	20674	293
986	20693	272
987	20715	251
988	20733	230
989	20752	209
990	20770	188
991	20789	167
992	20806	146
993	20824	125
994	20842	104
995	20862	83
996	20879	62
997	20898	41
998	20919	20
999	20937	0
